Table S3: List of merged CORUM reference complexes used in training PPI and Clustering optimization procedures (see Extended Experimental Procedures for details),,
No,Merged reference complex,Component-Accession ID
41,BASC_(Ab_80)_complex_(BRCA1-associated_genome_surveillance_complex)::BASC_complex_(BRCA1-associated_genome_surveillance_complex)::BASC_(Ab_81)_complex_(BRCA1-associated_genome_surveillance_complex)::BASC_(Ab_C-20)_complex_(BRCA1-associated_genome_surveillance_complex)::BRCA1-RAD50-MRE11-NBS1_complex::MRN_complex_(MRE11-RAD50-NBN_complex)::MRN_complex_(MRE11-RAD50-NBS1_complex)::RAD50-MRE11-NBN-p200-p350_complex::MRE11A-RAD50-NBN-TRF2_complex::MRN-TRRAP_complex_(MRE11A-RAD50-NBN-TRRAP_complex)::MSH2-MSH6-PMS1-MLH1_complex::MDC1-MRE11-RAD50-NBS1_complex::MDC1-MRN-ATM-FANCD2_complex::MutS-alpha-PK-zeta_complex::PTIP-DNA_damage_response_complex::MDC1-H2AFX-TP53BP1_complex::MDC1-p53BP1-SMC1_complex::MSH2/6-BLM-p53-RAD51_complex::EXO1-MLH1-PMS2_complex::MSH2-MLH1-PMS2-PCNA_DNA-repair_initiation_complex::MSH2-MLH1-PMS2_DNA-repair_initiation_complex::PCNA-MutS-alpha-MutL-alpha-DNA_complex::MSH2-MSH6-PMS2-MLH1_complex::PCNA-MSH2-MSH6_complex::PCNA-MutS-alpha-DNA_initial_complex,Q06609
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,O75771
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,O43542
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,O15315
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,P54132
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,O43543
42,BCDX2_complex::RAD51B-RAD51C-RAD51D-XRCC2-XRCC3_complex::BLM-RAD51L3-XRCC2_complex,O43502
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,O95999
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,Q13158
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,Q9UDY8
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,O14920
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,O15111
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,O15117
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,Q9BXL7
43,BCL10-CHUK-BCL10-IKBKB_complex::CASP8-CHUK-IKBKB-MALT1-BCL10_complex::CASP8-FADD-MALT1-BCL10_complex::CARMA1-BCL10-MALT1_complex::FYB-CARMA1-BCL-10-MALT1_complex,Q14790
44,BCOR_complex,Q9BSM1
44,BCOR_complex,Q8N488
44,BCOR_complex,Q99496
44,BCOR_complex,P63208
44,BCOR_complex,Q6W2J9
44,BCOR_complex,Q06587
44,BCOR_complex,P11142
44,BCOR_complex,Q8NHM5
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P03372
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q5U5U6
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q92882
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P12931
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P63000
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P46108
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",A1Z199
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q14185
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P56945
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q96B97
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q92556
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q3V639
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q99963
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q99962
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P27986
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P08581
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q07889
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P62993
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P00533
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",P22681
45,"BCR-ABL_(p210_fusion_protein)-GRB2-SOS1_complex::CIN85_complex_(CIN85,_CRK,_BCAR1,_CBL,_PIK3R1,_GRB2,_SOS1)::CIN85-CBL-SH3GL2_complex::CRK-BCAR1-DOCK1_complex::ELMO1-DOCK1-CRKII_complex::ELMO1-DOCK1-RAC1_complex::CIN85-CBL-SH3GL2-EGFR_complex,_EGF_stimulated::CIN85-SH3GL3-CBL_complex::MET-CIN85-SH3GL3-CBL_complex,_HGF_stimulated::Multiprotein_complex_(monoubiquitination)::SH3KBP1-CBLB-EGFR_complex::p130Cas-ER-alpha-cSrc-kinase-_PI3-kinase_p85-subunit_complex::SH3P2/OSTF1-CBL-SRC_complex",Q13191
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",O14980
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",O15392
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",Q96GD4
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",O60447
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",Q9NQS7
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",O14965
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",P20936
46,"BIRC5-AURKB-INCENP-EVI5_complex::Chromosomal_passenger_complex_CPC_(INCENP,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(CDCA8,_AURKB,_BIRC5)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5,_AURKB)::Chromosomal_passenger_complex_CPC_(INCENP,_CDCA8,_BIRC5)::CRM1-Survivin-AuroraB_mitotic_complex::RasGAP-AURKA/AURKB-survivin_complex",Q53HL2
47,BKCA-beta2AR-AKAP79_signaling_complex,Q12791
47,BKCA-beta2AR-AKAP79_signaling_complex,P24588
47,BKCA-beta2AR-AKAP79_signaling_complex,P07550
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q9H9A7
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",P40692
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q8IYD8
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q8NB91
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",O15360
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",P15927
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q9NPI8
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q13472
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",P27694
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q9NW38
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",P54132
48,"BLM_complex_II::BRAFT_complex::BLM_complex_III::FA_complex_(Fanconi_anemia_complex),_cytoplasmic::FA_core_complex_1_(Fanconi_anemia_core_complex_1)::Nucleic_and_chromatin_Fanconi_complex::RPA_complex::FA_complex_(Fanconi_anemia_complex)::FA_core_complex_(Fanconi_anemia_core_complex)",Q9HB96
